#Num friends, num posts, num likes
697,92,256
712,111,357
767,52,80
762,105,327
852,76,193
514,95,264
264,106,227
718,98,205
839,76,63
774,82,225
300,91,202
795,80,182
727,131,318
1070,79,171
489,79,269
653,97,196
601,117,251
629,137,405
1074,73,199
628,90,136
855,75,149
600,137,457
928,63,265
660,71,200
756,126,357
658,160,377
286,72,110
744,123,324
723,79,263
778,97,311
719,95,311
915,133,428
617,93,192
392,112,241
388,160,456
511,116,312
566,112,317
659,119,309
818,119,427
1005,62,185
973,120,305
419,93,128
564,128,277
396,152,443
888,93,308
714,160,423
925,64,152
709,78,217
649,117,232
703,116,267
975,89,219
597,71,76
778,85,180
489,140,415
939,91,285
577,141,376
446,53,89
569,114,277
706,132,350
674,100,284
765,83,128
842,124,270
699,111,163
761,90,229
793,142,298
452,111,255
408,155,367
719,104,303
818,109,215
862,91,298
808,137,496
932,84,232
699,148,471
519,106,270
894,122,275
1077,94,309
654,120,285
944,115,270
688,91,207
694,110,248
479,60,123
879,118,252
374,86,104
568,122,247
665,84,272
798,46,37
959,114,389
791,96,327
659,87,199
857,59,60
217,160,340
740,72,142
903,94,200
696,174,528
585,85,169
1165,58,231
962,86,186
825,166,445
723,63,78
753,84,197
917,108,254
391,89,200
478,74,228
838,110,320
389,133,361
970,116,264
557,81,176
421,126,309
427,67,227
613,99,202
428,98,298
599,99,301
751,99,314
620,107,259
632,106,205
572,130,224
765,79,197
636,92,190
542,112,277
972,79,336
771,84,194
968,103,313
698,53,107
1318,81,189
513,112,285
574,71,114
724,94,305
594,107,227
753,99,343
878,66,90
551,143,317
1149,89,197
593,160,400
451,127,276
831,104,354
751,140,395
988,91,305
540,76,252
598,93,321
642,124,348
615,74,149
157,136,305
493,102,337
746,70,100
521,94,239
629,104,335
776,89,228
442,73,188
582,83,154
877,55,141
664,89,151
685,74,147
601,82,276
735,79,186
657,90,236
887,120,272
417,91,126
559,81,82
983,110,334
546,70,165
652,69,135
861,118,345
532,109,293
1003,106,278
855,80,120
694,87,132
411,138,384
648,137,513
663,97,302
855,82,199
617,97,198
502,119,337
879,94,265
684,68,215
719,113,320
520,133,358
740,78,250
659,104,249
681,83,290
781,61,150
212,98,236
816,129,316
728,67,182
782,84,252
738,153,393
695,121,236
716,95,283
409,119,294
740,93,184
135,138,376
535,115,195
564,109,231
521,129,368
926,140,405
563,114,242
402,62,88
607,88,197
544,85,69
342,95,149
590,117,330
410,86,184
465,126,302
795,99,332
526,91,136
523,89,277
617,123,284
550,91,199
633,76,178
1177,45,86
986,125,407
749,93,201
787,112,408
617,91,228
554,84,307
789,100,253
681,126,291
1073,60,248
912,82,205
239,127,246
486,143,367
565,71,135
768,106,175
581,77,315
814,91,315
877,117,294
602,99,340
505,106,182
468,105,269
861,78,175
437,114,375
529,33,5
723,107,259
453,87,170
871,122,308
786,114,280
392,143,410
892,89,251
697,103,223
787,98,254
794,63,195
485,55,148
770,96,247
408,125,244
728,72,143
423,120,222
466,77,30
903,89,219
740,92,164
990,90,124
251,113,240
882,93,244
924,108,305
624,94,289
587,109,268
337,71,103
643,116,346
581,104,331
469,97,99
543,107,274
679,125,295
555,151,386
608,55,147
538,104,325
872,123,438
941,153,482
591,111,272
916,104,312
570,105,276
1145,70,142
607,48,81
798,97,304
525,83,174
958,95,268
469,111,226
674,121,239
1032,126,370
508,84,284
622,120,312
819,101,327
296,49,35
812,95,273
605,120,299
921,110,201
449,142,307
